entry_id,source_dataset,source_record_id,name_raw,name_canonical,site_type_tags,evidence_mode,primary_source,corroboration_status,corroborating_sources,active_raw,start_year,end_year,decades_norm,time_basis,address_raw,lat,lon,space_basis,spatial_precision,audit_note
S1:18828,S1,18828,Wald Playground,Wald Playground,[],institutional_inventory,,single_source,[],,,,"[""1940s""]",S1.decades_reported,East Houston Street & Baruch Drive,40.71972964,-73.97676176,source_coordinates,point,
S1:18829,S1,18829,Lillian D. Wald Playground,Lillian D. Wald Playground,[],institutional_inventory,,single_source,[],,,,"[""1930s""]",S1.decades_reported,Montgomery & Monroe Streets,40.71213626,-73.98384858,source_coordinates,point,
S1:18834,S1,18834,Eleanor Roosevelt Playground,Eleanor Roosevelt Playground,[],institutional_inventory,,single_source,[],,,,"[""1980s""]",S1.decades_reported,Kosciuszko Street & Lewis Avenue,40.69299131,-73.93490732,source_coordinates,point,
S1:18837,S1,18837,Lorraine Hansberry Plaza,Lorraine Hansberry Plaza,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,Tenth Avenue (West 48th & 49th Streets),40.763908,-73.992865,source_coordinates,point,
S1:18838,S1,18838,Audre Lorde Walk,Audre Lorde Walk,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,Silver Lake Park,40.62746923,-74.09180025,source_coordinates,point,
S1:18839,S1,18839,Mabel Hampton Garden,Mabel Hampton Garden,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,Morris Avenue & East 181st Street,40.85465545,-73.90393851,source_coordinates,point,
S1:3682,S1,3682,Mary E. Dreier & Frances A. Kellor Residence,Mary E. Dreier & Frances A. Kellor Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s""]",S1.decades_reported,43 Fifth Avenue,40.7340159,-73.9946266,source_coordinates,point,
S1:3470,S1,3470,Eve’s Hangout,Eve’s Hangout,[],institutional_inventory,,single_source,[],,,,"[""1920s""]",S1.decades_reported,129 MacDougal Street,40.7307088,-74.0001471,source_coordinates,point,
S1:3462,S1,3462,Elisabeth Marbury & Elsie de Wolfe Residence,Elisabeth Marbury & Elsie de Wolfe Residence,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s"", ""1900s""]",S1.decades_reported,122 East 17th Street,40.7358217,-73.9876443,source_coordinates,point,
S1:3365,S1,3365,Emma Stebbins & “Angel of the Waters”,Emma Stebbins & “Angel of the Waters”,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s""]",S1.decades_reported,Central Park,40.7743009,-73.9708426,source_coordinates,point,
S1:3167,S1,3167,Mercedes de Acosta Residence,Mercedes de Acosta Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s""]",S1.decades_reported,315 East 68th Street,40.7662371,-73.9596022,source_coordinates,point,
S1:3093,S1,3093,Henry Street Settlement,Henry Street Settlement,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s"", ""1900s"", ""1910s"", ""1920s"", ""1930s""]",S1.decades_reported,263-267 Henry Street,40.7140101,-73.9845132,source_coordinates,point,
S1:3003,S1,3003,Alice Austen & Gertrude Tate Residence,Alice Austen & Gertrude Tate Residence,[],institutional_inventory,,single_source,[],,,,"[""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s"", ""1900s"", ""1910s"", ""1920s"", ""1930s"", ""1940s""]",S1.decades_reported,2 Hylan Boulevard,40.6151351,-74.0630179,source_coordinates,point,
S1:2996,S1,2996,Marion Dickerman & Nancy Cook Residence / Molly Dewson & Polly Porter Residence,Marion Dickerman & Nancy Cook Residence / Molly Dewson & Polly Porter Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s"", ""1940s"", ""1950s""]",S1.decades_reported,171 West 12th Street,40.7372359,-73.9999441,source_coordinates,point,
S1:2932,S1,2932,Joan Nestle Residence,Joan Nestle Residence,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,215 West 92nd Street,40.7921116,-73.9731768,source_coordinates,point,
S1:2758,S1,2758,Bum Bum Bar,Bum Bum Bar,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,63-14 Roosevelt Avenue,40.745679,-73.9006221,source_coordinates,point,
S1:2734,S1,2734,Women’s Liberation Center,Women’s Liberation Center,[],institutional_inventory,,single_source,[],,,,"[""1970s""]",S1.decades_reported,243 West 20th Street,40.7431504,-73.9987338,source_coordinates,point,
S1:2660,S1,2660,Mabel Hampton & Lillian Foster Residence,Mabel Hampton & Lillian Foster Residence,[],institutional_inventory,,single_source,[],,,,"[""1940s"", ""1950s"", ""1960s"", ""1970s"", ""1980s""]",S1.decades_reported,639 East 169th Street,40.8316844,-73.9009939,source_coordinates,point,
S1:2628,S1,2628,Lesbian Herstory Archives,Lesbian Herstory Archives,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,484 14th Street,40.66182,-73.980394,source_coordinates,point,
S1:2574,S1,2574,Ethel Waters Residence,Ethel Waters Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s""]",S1.decades_reported,580 St. Nicholas Avenue,40.81995,-73.94623,source_coordinates,point,
S1:2568,S1,2568,Elsa Gidlow Residence,Elsa Gidlow Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s""]",S1.decades_reported,447 West 22nd Street,40.746652,-74.003148,source_coordinates,point,
S1:2501,S1,2501,Berenice Abbott & Elizabeth McCausland Residence & Studio,Berenice Abbott & Elizabeth McCausland Residence & Studio,[],institutional_inventory,,single_source,[],,,,"[""1930s"", ""1940s"", ""1950s"", ""1960s""]",S1.decades_reported,50 Commerce Street,40.7313538,-74.0057057,source_coordinates,point,
S1:2493,S1,2493,Audre Lorde & Frances Clayton Residence,Audre Lorde & Frances Clayton Residence,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s""]",S1.decades_reported,207 St. Paul's Avenue,40.63255,-74.078864,source_coordinates,point,
S1:2446,S1,2446,Little Red School House,Little Red School House,[],institutional_inventory,,single_source,[],,,,"[""1930s"", ""1940s"", ""1950s"", ""1960s"", ""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,196 Bleecker Street,40.729207,-74.001792,source_coordinates,point,
S1:2428,S1,2428,Lorraine Hansberry Residence,Lorraine Hansberry Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s""]",S1.decades_reported,112 Waverly Place,40.732317,-73.999345,source_coordinates,point,
S1:2349,S1,2349,Kitty Genovese & Mary Ann Zielonko Residence,Kitty Genovese & Mary Ann Zielonko Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s""]",S1.decades_reported,82-70 Austin Street,40.709375,-73.830072,source_coordinates,point,
S1:2157,S1,2157,Portofino,Portofino,[],institutional_inventory,,single_source,[],,,,"[""1960s"", ""1970s""]",S1.decades_reported,206 Thompson Street,40.7286072,-73.9993187,source_coordinates,point,
S1:2058,S1,2058,Sea Colony,Sea Colony,[],institutional_inventory,,single_source,[],,,,"[""1950s"", ""1960s""]",S1.decades_reported,48-52 Eighth Avenue,40.7384402,-74.0034447,source_coordinates,point,
S1:1944,S1,1944,Lorraine Hansberry Residence,Lorraine Hansberry Residence,[],institutional_inventory,,single_source,[],,,,"[""1950s""]",S1.decades_reported,337 Bleecker Street,40.7336974,-74.0042732,source_coordinates,point,
S1:1938,S1,1938,The Bagatelle,The Bagatelle,[],institutional_inventory,,single_source,[],,,,"[""1950s""]",S1.decades_reported,86 University Place,40.7336649,-73.9932797,source_coordinates,point,
S1:1932,S1,1932,Mad Hatter / Pony Stable Inn,Mad Hatter / Pony Stable Inn,[],institutional_inventory,,single_source,[],,,,"[""1910s"", ""1920s"", ""1930s"", ""1940s"", ""1950s"", ""1960s""]",S1.decades_reported,150 West 4th Street,40.731432,-74.0006679,source_coordinates,point,
S1:1894,S1,1894,Anna Rochester & Grace Hutchins Residence,Anna Rochester & Grace Hutchins Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s"", ""1940s"", ""1950s"", ""1960s""]",S1.decades_reported,85 Bedford Street,40.7319131,-74.0052925,source_coordinates,point,
S1:1865,S1,1865,Kooky’s,Kooky’s,[],institutional_inventory,,single_source,[],,,,"[""1950s"", ""1960s""]",S1.decades_reported,149 West 14th Street,40.7384747,-73.9988496,source_coordinates,point,
S1:1854,S1,1854,Gianni’s,Gianni’s,[],institutional_inventory,,single_source,[],,,,"[""1950s"", ""1960s""]",S1.decades_reported,53 West 19th Street,40.7402677,-73.9937313,source_coordinates,point,
S1:1757,S1,1757,Renée Cafiero & Nancy Garden Residence,Renée Cafiero & Nancy Garden Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s""]",S1.decades_reported,91 Joralemon Street,40.693531,-73.995953,source_coordinates,point,
S1:1719,S1,1719,Duchess / Grove / Pandora’s Box,Duchess / Grove / Pandora’s Box,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,70 Grove Street,40.7331527,-74.002802,source_coordinates,point,
S1:1708,S1,1708,Meow Mix,Meow Mix,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,269 East Houston Street,40.7214946,-73.9846749,source_coordinates,point,
S1:1629,S1,1629,Cubby Hole / Henrietta Hudson,Cubby Hole / Henrietta Hudson,[],institutional_inventory,,single_source,[],,,,"[""1980s"", ""1990s""]",S1.decades_reported,438-444 Hudson Street,40.731133,-74.0064631,source_coordinates,point,
S1:1352,S1,1352,Swing Rendezvous,Swing Rendezvous,[],institutional_inventory,,single_source,[],,,,"[""1930s"", ""1940s"", ""1950s"", ""1960s""]",S1.decades_reported,117 MacDougal Street,40.7302002,-74.0005639,source_coordinates,point,
S1:1322,S1,1322,Prospect Theater,Prospect Theater,[],institutional_inventory,,single_source,[],,,,"[""1920s""]",S1.decades_reported,851 Prospect Avenue,40.820244,-73.902005,source_coordinates,point,
S1:1314,S1,1314,Ruthie Berman & Connie Kurtz Residence,Ruthie Berman & Connie Kurtz Residence,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,1964 East 35th Street,40.609561,-73.932791,source_coordinates,point,
S1:1160,S1,1160,Beach Haven Bar,Beach Haven Bar,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s""]",S1.decades_reported,901 Father Capodanno Boulevard,40.5746154,-74.0855282,source_coordinates,point,
S1:1129,S1,1129,Tharon Musser Residence,Tharon Musser Residence,[],institutional_inventory,,single_source,[],,,,"[""1950s"", ""1960s"", ""1970s"", ""1980s"", ""1990s""]",S1.decades_reported,21 Cornelia Street,40.7315751,-74.0021592,source_coordinates,point,
S1:1048,S1,1048,Lorena Hickok Residence,Lorena Hickok Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s""]",S1.decades_reported,10 Mitchell Place,40.7532167,-73.9657655,source_coordinates,point,
S1:1025,S1,1025,Patricia Highsmith Residence,Patricia Highsmith Residence,[],institutional_inventory,,single_source,[],,,,"[""1940s""]",S1.decades_reported,48 Grove Street,40.7327888,-74.0041565,source_coordinates,point,
S1:928,S1,928,Michelle Cliff Residence,Michelle Cliff Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s""]",S1.decades_reported,45 Belmont Place,40.6438765,-74.0803849,source_coordinates,point,
S1:856,S1,856,Alberta Hunter Residence,Alberta Hunter Residence,[],institutional_inventory,,single_source,[],,,,"[""1920s"", ""1930s"", ""1940s""]",S1.decades_reported,133 West 138th Street,40.8169662,-73.9411819,source_coordinates,point,
S1:727,S1,727,Mother Courage,Mother Courage,[],institutional_inventory,,single_source,[],,,,"[""1970s""]",S1.decades_reported,342 West 11th Street,40.7354605,-74.0080807,source_coordinates,point,
S1:715,S1,715,Georgette Harvey & Musa Williams Residence,Georgette Harvey & Musa Williams Residence,[],institutional_inventory,,single_source,[],,,,"[""1930s""]",S1.decades_reported,320 Manhattan Avenue,40.8035282,-73.9576113,source_coordinates,point,
S1:676,S1,676,Lavender Menace Action at Second Congress to Unite Women,Lavender Menace Action at Second Congress to Unite Women,[],institutional_inventory,,single_source,[],,,,"[""1970s""]",S1.decades_reported,333 West 17th Street,40.7425099,-74.0022418,source_coordinates,point,
S1:655,S1,655,Womanbooks,Womanbooks,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s""]",S1.decades_reported,201 West 92nd Street,40.7917966,-73.9725548,source_coordinates,point,
S1:649,S1,649,La Papaya,La Papaya,[],institutional_inventory,,single_source,[],,,,"[""1980s""]",S1.decades_reported,331 Flatbush Avenue,40.6779186,-73.9726617,source_coordinates,point,
S1:636,S1,636,Ellen Broidy & Linda Rhodes Residence / Rita Mae Brown Residence,Ellen Broidy & Linda Rhodes Residence / Rita Mae Brown Residence,[],institutional_inventory,,single_source,[],,,,"[""1960s"", ""1970s""]",S1.decades_reported,338 East 6th Street,40.726565,-73.986845,source_coordinates,point,
S1:627,S1,627,Djuna Books,Djuna Books,[],institutional_inventory,,single_source,[],,,,"[""1970s"", ""1980s""]",S1.decades_reported,154 West 10th Street,40.734387,-74.0015401,source_coordinates,point,
S1:618,S1,618,Labyris,Labyris,[],institutional_inventory,,single_source,[],,,,"[""1970s""]",S1.decades_reported,33 Barrow Street,40.7322874,-74.0033546,source_coordinates,point,
S1:447,S1,447,Women’s Coffeehouse,Women’s Coffeehouse,[],institutional_inventory,,single_source,[],,,,"[""1970s""]",S1.decades_reported,54 Seventh Avenue South,40.7314398,-74.0044219,source_coordinates,point,
S1:415,S1,415,Daughters of Bilitis Center,Daughters of Bilitis Center,[],institutional_inventory,,single_source,[],,,,"[""1970s""]",S1.decades_reported,141 Prince Street,40.7257466,-74.0004721,source_coordinates,point,
S1:401,S1,401,Alice Austen Public School 60,Alice Austen Public School 60,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,55 Merrill Avenue,40.6104171,-74.1624387,source_coordinates,point,
S1:394,S1,394,Lorraine Hansberry Public School 118,Lorraine Hansberry Public School 118,[],institutional_inventory,,single_source,[],,,,"[""1960s""]",S1.decades_reported,190-20 109th Road,40.7032489,-73.7655178,source_coordinates,point,
S1:260,S1,260,"Elisabeth Irwin High School, part of Little Red School House","Elisabeth Irwin High School, part of Little Red School House",[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,40 Charlton Street,40.7268187,-74.0049023,source_coordinates,point,
S1:254,S1,254,Jane Addams High School for Academic Careers,Jane Addams High School for Academic Careers,[],institutional_inventory,,single_source,[],,,,"[""1930s""]",S1.decades_reported,900 Tinton Avenue,40.8216861,-73.9031681,source_coordinates,point,
S1:251,S1,251,Eleanor Roosevelt High School,Eleanor Roosevelt High School,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,411 East 76th Street,40.7701333,-73.9532614,source_coordinates,point,
S1:247,S1,247,Eleanor Roosevelt Junior High School 143,Eleanor Roosevelt Junior High School 143,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,515 West 182nd Street,40.8493452,-73.9310222,source_coordinates,point,
S1:125,S1,125,Emma Lazarus Public School 268,Emma Lazarus Public School 268,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,133 East 53rd Street,40.6574139,-73.9278074,source_coordinates,point,
S1:113,S1,113,Lorraine Hansberry Academy Public School 214,Lorraine Hansberry Academy Public School 214,[],institutional_inventory,,single_source,[],,,,[],S1.decades_missing,1970 West Farms Road,40.83941,-73.8801376,source_coordinates,point,
S1:75,S1,75,Cubbyhole,Cubbyhole,[],institutional_inventory,,single_source,[],,,,"[""1990s""]",S1.decades_reported,281 West 12th Street,40.7376831,-74.0037636,source_coordinates,point,
S2:0,S2,0,Admiral Bar,Admiral Bar,[],community_directory,,single_source,[],,1930,1940,"[""1930s"", ""1940s""]",S2.decades_reported,"LENOX AVENUE AND 132ND STREET, NEW YORK, NY",40.8121723,-73.9421798,source_coordinates,point,
S2:1,S2,1,Alice Austen House Museum,Alice Austen House Museum,[],community_directory,,single_source,[],,1980,2025,"[""1980s"", ""1990s"", ""2000s"", ""2010s"", ""2020s""]",S2.decades_reported,"2 Hylan Boulevard, Staten Island, NY",40.6151351,-74.0630179,source_coordinates,point,
S2:2,S2,2,Alternate U.,Alternate U.,[],community_directory,,single_source,[],,1966,1970,"[""1960s"", ""1970s""]",S2.decades_reported,"69 West 14th Street, New York, NY",40.7374482,-73.9963264,source_coordinates,point,
S2:3,S2,3,Apollo Bar,Apollo Bar,[],community_directory,,single_source,[],,1930,1940,"[""1930s"", ""1940s""]",S2.decades_reported,"126th street BETWEEN 7TH AVENUE AND FREDERICK DOUGLASS BOULEVARD, NEW YORK, NY",40.8096094,-73.9477613,source_coordinates,point,
S2:4,S2,4,Audobon Ballroom,Audobon Ballroom,[],community_directory,,single_source,[],,1930,1940,"[""1930s"", ""1940s""]",S2.decades_reported,"Amsterdam Avenue between 156th street and 157th street, New York, NY",40.8322569,-73.9424875,source_coordinates,point,
S2:5,S2,5,AVA at Clubhouse,AVA at Clubhouse,[],community_directory,,single_source,[],,2005,,"[""2000s""]",S2.decades_reported,"700 EAST 9TH STREET, NEW YORK, NY",40.7249539,-73.9777806,source_coordinates,point,
S2:6,S2,6,Bad Habit at Lot 45,Bad Habit at Lot 45,[],community_directory,,single_source,[],,2017,2025,"[""2010s"", ""2020s""]",S2.decades_reported,"411 TROUTMAN STREET, BROOKLYN, NY",40.7070287,-73.9227095,source_coordinates,point,
S2:7,S2,7,Bagatelle,Bagatelle,[],community_directory,,single_source,[],,1952,2017,"[""1950s"", ""1960s"", ""1970s"", ""1980s"", ""1990s"", ""2000s"", ""2010s""]",S2.decades_reported,"86 UNIVERSITY PLACE, NEW YORK, NY",40.7336649,-73.9932798,source_coordinates,point,
S2:8,S2,8,Battle Hymn and Holy Mountain at Flash Factory,Battle Hymn and Holy Mountain at Flash Factory,[],community_directory,,single_source,[],,2016,2017,"[""2010s""]",S2.decades_reported,"229 WEST 28TH STREET, NEW YORK, NY",40.7480778,-73.9948493,source_coordinates,point,
S2:9,S2,9,Be Cute at Littlefield,Be Cute at Littlefield,[],community_directory,,single_source,[],,2015,2025,"[""2010s"", ""2020s""]",S2.decades_reported,"635 SACKETT STREET, BROOKLYN, NY",40.6785007,-73.9833014,source_coordinates,point,
S2:10,S2,10,Beach Haven Bar,Beach Haven Bar,[],community_directory,,single_source,[],,1970,1980,"[""1970s"", ""1980s""]",S2.decades_reported,"901 FATHER CAPODANNO BOULEVARD, STATEN ISLAND, NY",40.5746154,-74.0855282,source_coordinates,point,
S2:11,S2,11,Bluestockings Bookstore,Bluestockings Bookstore,[],community_directory,,single_source,[],,1999,2025,"[""1990s"", ""2000s"", ""2010s"", ""2020s""]",S2.decades_reported,"172 Allen Street New York, NY",40.7214027,-73.9889027,source_coordinates,point,
S2:12,S2,12,Tongue at BOB Bar,Tongue at BOB Bar,[],community_directory,,single_source,[],,,,[],S2.decades_missing,"235 ELDRIDGE STREET, NEW YORK, NY",40.7224441,-73.9899847,source_coordinates,point,
S2:13,S2,13,Bohemia,Bohemia,[],community_directory,,single_source,[],,1950,1960,"[""1950s"", ""1960s""]",S2.decades_reported,"15 Barrow street, new york, ny",40.7324814,-74.0024921,source_coordinates,point,
